date,company,cik,form
2024-10-31,"Finch Therapeutics Group, Inc.",1733257,25
2024-10-21,TELLURIAN INC. /DE/,61398,25
2024-10-11,"Guardion Health Sciences, Inc.",1642375,25
2024-10-11,Investment Managers Series Trust II,1587982,25
2024-10-07,Renalytix plc,1811115,25
2024-10-07,ORANGE,1038143,25
2024-10-04,"Generations Bancorp NY, Inc.",1823365,25
2024-09-26,Dynamic Shares Trust,1771951,25
2024-09-23,BlackRock Inc.,1364742,25
2024-09-20,Telesis Bio Inc.,1850079,25
2024-09-13,Calliditas Therapeutics AB,1795579,25
2024-09-06,Altisource Asset Management Corp,1555074,25
2024-09-03,ETF Opportunities Trust,1771146,25
2024-08-30,Currenc Group Inc.,1862935,25
2024-08-23,"Benson Hill, Inc.",1830210,25
2024-08-23,Learn CW Investment Corp,1847577,25
2024-08-16,CAMPBELL SOUP CO,16732,25
2024-08-16,Grindrod Shipping Holdings Ltd.,1725293,25
2024-08-12,Allego N.V.,1874474,25
2024-08-12,ETF Series Solutions,1540305,25
2024-08-05,"Vintage Wine Estates, Inc.",1834045,25
2024-08-05,UNITED COMMUNITY BANKS INC,857855,25
2024-08-05,"COVENANT LOGISTICS GROUP, INC.",928658,25
2024-07-25,MorphoSys AG,1340243,25
2024-07-22,"TC Bancshares, Inc.",1850398,25
2024-07-22,Ameris Bancorp,351569,25
2024-07-18,"Cullman Bancorp, Inc. /MD/",1845799,25
2024-07-15,Monterey Capital Acquisition Corp,1895249,25
2024-07-11,PARTNERRE LTD,911421,25
2024-06-21,FEDERAL HOME LOAN MORTGAGE CORP,1026214,25
2024-06-21,Feutune Light Acquisition Corp,1912582,25
2024-06-20,Tidal ETF Trust,1742912,25
2024-06-20,Tidal ETF Trust,1742912,25
2024-06-07,SIFY TECHNOLOGIES LTD,1094324,25
2024-06-06,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",1788257,25
2024-06-03,Concord Acquisition Corp II,1851959,25
2024-06-03,"M.D.C. HOLDINGS, INC.",773141,25
2024-05-31,"American Oncology Network, Inc.",1839998,25
2024-05-29,TCW ETF Trust,1831313,25
2024-05-29,TCW ETF Trust,1831313,25
2024-05-29,FIRST BANCSHARES INC /MS/,947559,25
2024-05-17,KFORCE INC,930420,25
2024-05-10,MERRIMACK PHARMACEUTICALS INC,1274792,25
2024-05-06,Clever Leaves Holdings Inc.,1819615,25
2024-04-29,"Vaxxinity, Inc.",1851657,25
2024-04-25,Roth CH Acquisition Co.,1860514,25
2024-04-23,TOP SHIPS INC.,1296484,25
2024-04-22,PECO ENERGY CAPITAL LP,925910,25
2024-04-19,VIA optronics AG,1769116,25
2024-04-18,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,1267332,25
2024-04-15,"Semantix, Inc.",1896049,25
2024-04-08,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,1038572,25
2024-04-04,Revelstone Capital Acquisition Corp.,1874218,25
